,0,1,2,3,4
124,USA-ND,True,2021-02-28 01:08:58,GeForce GTX 1080,OBO-
125,USA-TX,True,2021-02-28 01:07:04,RTX 3090,
126,USA-SC,True,2021-02-28 01:02:10,,
127,USA-CT,True,2021-02-28 01:00:04,RTX 2070,
128,USA-NJ,True,2021-02-28 00:54:10,,
129,USA-VA,True,2021-02-28 00:52:30,,
130,USA-GA,True,2021-02-28 00:48:48,,
131,USA-NJ,True,2021-02-28 00:44:53,,
132,USA-NY,True,2021-02-28 00:43:11,,
133,USA-AR,True,2021-02-28 00:38:32,,
134,USA-CA,True,2021-02-28 00:37:00,,
135,USA-GA,True,2021-02-28 00:33:42,,
136,USA-OH,True,2021-02-28 00:28:24,,
137,USA-AR,True,2021-02-28 00:28:16,,
138,USA-CA,True,2021-02-28 00:23:59,,
139,USA-CA,True,2021-02-28 00:22:15,,
140,USA-PA,True,2021-02-28 00:21:38,,
141,USA-MO,True,2021-02-28 00:18:32,,
142,USA-CA,True,2021-02-28 00:09:59,,
143,USA-CA,True,2021-02-28 00:09:44,,
144,USA-NY,True,2021-02-28 00:09:07,,
145,USA-TX,True,2021-02-28 00:07:19,,
146,USA-IL,True,2021-02-28 00:02:06,,
147,USA-OR,True,2021-02-28 00:01:40,,
148,USA-NY,True,2021-02-28 00:01:12,,
149,USA-CA,True,2021-02-28 00:00:36,RTX 3070,
150,USA-NY,True,2021-02-28 00:00:06,,
151,USA-CA,True,2021-02-27 23:59:43,,
152,USA-TX,True,2021-02-27 23:59:14,,
153,USA-CA,True,2021-02-27 23:53:52,,
154,USA-CA,True,2021-02-27 23:53:15,,
155,USA-CA,True,2021-02-27 23:52:30,,
156,USA-GA,True,2021-02-27 23:49:47,,
157,USA-FPO,True,2021-02-27 23:43:51,,
158,USA-NV,True,2021-02-27 23:42:51,,
159,USA-CA,True,2021-02-27 23:42:12,,
160,USA-LA,True,2021-02-27 23:41:54,,
161,USA-IL,True,2021-02-27 23:41:31,,
162,USA-TN,True,2021-02-27 23:40:41,,
163,USA-MS,True,2021-02-27 23:39:22,,
164,USA-TX,True,2021-02-27 23:34:33,,
165,USA-AL,True,2021-02-27 23:34:04,,
166,USA-WA,True,2021-02-27 23:33:56,,
167,USA-CA,True,2021-02-27 23:33:37,,
168,USA-CA,True,2021-02-27 23:31:48,,
169,USA-TX,True,2021-02-27 23:31:32,,
170,USA-NY,True,2021-02-27 23:29:47,RTX 3070,
171,USA-IL,True,2021-02-27 23:26:43,,
172,USA-NY,True,2021-02-27 23:22:41,,
173,USA-MA,True,2021-02-27 23:16:58,,
174,USA-NJ,True,2021-02-27 23:15:57,RTX 3090,
175,USA-MA,True,2021-02-27 23:14:55,,
176,USA-CT,True,2021-02-27 23:13:55,,
177,USA-MA,True,2021-02-27 23:07:19,RTX 3080,
178,USA-TN,True,2021-02-27 23:02:35,,
179,USA-CA,True,2021-02-27 23:02:19,RTX 2070,
180,USA-CA,True,2021-02-27 23:02:16,,
181,USA-NJ,True,2021-02-27 23:01:16,,
